stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;(räume|aufsicht);rkapazität;anzstudenten;tag;uhrzeit
WP;0;172;8005;Lean Management;1304;120;KL;20201;J; (1/U37|3) (3/224|4);44;40;1;08:00;
VB;0;121;6020;Behördliches Vermessungsw;15962;90;KL;20201;J; (3/203|12);9;1;1;08:00;
WPM;0;162;1050;Psychologische Asp.Org.I;3123;60;KL;20201;J; (1/210|13) (1/303|14);30;21;1;08:00;
WBI;0;182;3010;Architektur und Städtebau;14014;45;KL;20201;J; (8/003|11) (3/203|12);31;22;1;08:00;
WBI;0;182;4040;Investition u. Finanzier.;1111;120;KL;20201;J; (8/008|10);16;16;1;08:00;
VB;0;182;2050;Programmieren 1;0521;90;KL;20201;J; (8/003|11);9;9;1;08:00;
IL;0;132;4050;Recht;2413;60;KL;20201;J; (1/013|16);2;1;1;08:00;
WBI;IW;112;6050;Immobilienrecht;3698;90;KL;20201;J; (3/111|7);9;7;1;08:00;
WI;0;112;1020;Diskrete Mathematik;0514;90;KL;20201;J; (3/111|7) (1/211|8) (1/111|9);54;45;1;08:00;
WI;0;112;2050;Programmieren 2;4123;120;KL;20201;J; (8/043|2);20;19;1;08:00;
VIS;0;162;3010;Integriertes Arbeiten;0203;60;KL;20201;J; (3/224|4);4;4;1;08:00;
WI;0;112;3050;IT-Sicherheit;3251;90;KL;20201;J; (1/U28|5) (3/201|6);44;44;1;08:00;
GTM;0;1922;911922020;Numerische Verfahren Geo.;3281;90;KL;20201;J; (1/020|17);8;2;1;08:00;
SP;0;171;17900;Techn.Infrastruktur;6174;90;KL;20201;J; (1/U27|20);7;4;1;08:00;
WI;0;112;17200;Datenstrukt./Algorithmen;4406;120;KL;20201;J; (3/101|1);20;5;1;08:00;
VB;0;121;4040;Progr.konzepte der Geoinf;0521;90;KL;20201;J; (1/210|13);9;1;1;08:00;
VB;0;121;1040;GMP Polarverfahren;0696;120;KL;20201;J; (1/303|14);9;2;1;08:00;
IL;0;182;2050;Sensoren u. Auswerttechni;8415;120;KL;20201;J; (L/128|19);7;6;1;08:00;
MB;0;132;4040;Datenstrukturen/Algorith.;4406;120;KL;20201;J; (8/023|18);8;1;1;08:00;
WBI;0;182;2010;Mathematik II;4169;120;KL;20201;J; (3/223|15) (1/013|16);30;28;1;08:00;
VM;0;182;2020;Liegenschaftsk./Planung;0568;90;KL;20201;J; (1/211|8);9;6;1;08:00;
VIS;0;162;1040;Transportlogistik;0203;120;KL;20201;J; (1/020|17) (8/023|18);28;20;1;08:00;
WBI;0;112;4050;Energie;15786;90;KL;20201;J; (1/U37|3);4;4;1;08:00;
VB;0;182;4040;Programmieren 2;0139;90;KL;20201;J; (1/111|9);9;9;1;08:00;
UL;0;172;7500;Transportmanagement;1132;120;KL;20201;J; (L/128|19) (1/U27|20);26;19;1;08:00;
WP;0;172;9001;Diagnostik;2871;60;KL;20201;J; (3/101|1) (8/043|2);52;32;1;08:00;
KE;0;141;1040;Baukonst. u.Entwerfen 1;6281;60;KL;20201;J; (3/223|15);2;1;1;08:00;
IF;0;132;7010;Betriebspsychologie;3512;60;KL;20201;J; (3/111|7);22;18;1;10:30;
MB;0;132;4010;Analysis 3;0514;120;KL;20201;J; (3/201|6);6;2;1;10:30;
IM;0;131;6040;Verkehrsinfrastruktur 3;15364;120;KL;20201;J; (3/203|12) (1/210|13);30;17;1;10:30;
IL;0;132;4040;Techn. Kommunikationsman.;8415;120;KL;20201;J; (3/111|7);4;2;1;10:30;
BB;BM;162;7030;Baubetriebswirtsch.;0132;120;KL;20201;J; (1/U28|5) (3/201|6);44;38;1;10:30;
MA;0;192;301928180;WPF Techn. Infrastruktur;6174;90;KL;20201;J; (3/203|12);13;6;1;10:30;
MB;0;182;3020;Lineare Algebra 2;4169;120;KL;20201;J; (1/U28|5);6;4;1;10:30;
BW;GM;132;9020;Corporate Finance;1678;120;KL;20201;J; (1/211|8) (1/111|9) (8/003|11);48;48;1;10:30;
IB;0;172;4040;Fachwissen Möbel 4;00693;60;KL;20201;J; (1/210|13);13;9;1;10:30;
GP;0;182;17120;Körperschall u.inno.Lärm;3615;90;KL;20201;J; (8/008|10);9;2;1;11:00;
BB;0;192;601924050;Siedlungswasserwirtsch. I;15941;60;KL;20201;J; (1/013|16);9;2;1;11:00;
BB;0;162;17180;Schalung und Rüstung;1108;60;KL;20201;J; (1/020|17);9;1;1;11:00;
IF;0;132;3050;Theoretische Informatik;0311;120;KL;20201;J; (3/101|1) (8/043|2);52;51;1;11:00;
BB;0;162;17200;Brandschutz;6147;60;KL;20201;J; (3/223|15);9;4;1;11:00;
AB;0;141;1030;Technik Grundlagen;6317;210;KL;20201;J; (1/303|14);9;2;1;11:00;
PG;0;162;1040;Scientific Skills, Inter.;0139;90;KL;20201;J; (L/128|19) (1/U27|20);26;23;1;11:00;
IM;0;172;2040;Energie 1;15786;90;KL;20201;J; (1/U37|3) (3/224|4);44;32;1;11:00;
GP;0;182;17150;Heizung, Klima, Lüftung;1436;70;KL;20201;J; (3/101|1);1;1;1;11:00;
PB;0;182;3020;Wärmeschutz 1;0346;90;KL;20201;J; (8/023|18);14;13;1;11:00;
BW;0;132;9000;Wirtschaftswissensch.Grdl;0386;90;KL;20201;J; (L/128|19);3;3;1;11:00;
GTM;0;192;911922020;Numerische Verfahren Geo.;3281;90;KL;20201;J; (1/U37|3);12;8;1;11:00;
ST;0;91;1010;Concepts Programm. Lang.;1741;120;KL;20201;J; (1/U27|20);3;2;1;11:00;
IB;0;192;11921050;1_Wissen;1188;60;KL;20201;J; (8/008|10) (1/303|14) (3/223|15) (1/013|16) (1/020|17);75;66;1;11:00;
GT;0;131;2050;Wirtschaft, Recht, Manag.;6817;180;KL;20201;J; (3/224|4);12;5;1;11:00;
KI;0;1922;921922020;Strukturmechanik 2;15291;120;KL;20201;J; (8/023|18);1;1;1;11:00;
IB;0;172;2030;Fachwissen Innenraum 2;2174;120;KL;20201;J; (8/043|2);1;1;1;11:00;
WPM;0;162;1020;Forschungsmethoden I;7365;90;KL;20201;J; (3/223|15) (1/013|16);30;21;1;13:00;
KI;0;131;1010;Entw Erd-/Grund-/Tunnelb.;0815;60;KL;20201;J; (1/013|16);9;2;1;13:00;
IL;0;132;4030;Verteilte Systeme u.Netzw;15950;120;KL;20201;J; (3/223|15);9;7;1;13:00;
VB;0;182;4010;Photogrammetrie;0236;120;KL;20201;J; (3/201|6);16;10;1;13:30;
WBI;0;112;5016;Arbeitsschutzmanagement;9871;60;KL;20201;J; (1/210|13) (1/303|14);30;21;1;13:30;
