stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;(räume|aufsicht);rkapazität;anzstudenten;restplatz;tag;uhrzeit
PB;0;182;2030;Mathematik 2;1436;120;KL;20201;J;;0;0;0;0;08:00;
WBI;0;201;642011040;Volkswirtschaft + Recht 1;7410;120;KL;20201;J;;0;0;0;0;08:00;
IM;0;172;19130;Internationaler ÖPNV;6874;60;KL;20201;J;;0;0;0;0;08:00;
IM;0;172;19100;Bahntechnik;6874;45;KL;20201;J;;0;0;0;0;08:00;
GT;0;131;1020;Geomechanik 1;3281;150;KL;20201;J;;0;0;0;0;08:00;
IF;0;132;17000;Compilerbau;4406;90;KL;20201;J;;0;0;0;0;08:00;
IB;0;172;3030;Fachwissen Innenraum 3;2174;120;KL;20201;J;;0;0;0;0;08:00;
VB;0;182;4030;Behördl. Vermessungsw.u.R;15962;90;KL;20201;J;;0;0;0;0;08:00;
GM;0;132;9004;Marketing Management;0325;60;KL;20201;J;;0;0;0;0;08:00;
ST;0;91;1100;Cryptographic Algorithms;15997;120;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;6030;Technischer Lärmschutz;1471;60;KL;20201;J;;0;0;0;0;08:00;
BB;0;162;4045;Vorl. Verkehrswesen II;0360;60;KL;20201;J;;0;0;0;0;08:00;
BW;GM;132;5099;Unternehmenssteuern;0508;90;KL;20201;J;;0;0;0;0;08:00;
GTM;0;1922;911921010;Strukturmechanik;15291;180;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929010;Supply Chain Management;1213;90;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929009;Kosten- und Leistungsrech;2846;90;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601924045;Vorl. Verkehrswesen II;0360;60;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929008;Qualitätsmanagement;0871;90;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929007;Marktforschung;0325;0;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929006;Wirtschaftsrecht;0138;120;KL;20201;J;;0;0;0;0;08:00;
KI;0;192;921921030;Strukturmechanik 1;15291;120;KL;20201;J;;0;0;0;0;08:00;
IB;0;141;6030;Fachwissen Innenraum 6;0632;120;KL;20201;J;;0;0;0;0;08:00;
BW;0;192;611929005;Methodenkompetenz;6415;0;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;6040;Raum- und Psychoakustik;0833;120;KL;20201;J;;0;0;0;0;08:00;
KI;0;192;921921040;Stahl- und Stahlverbundb.;0820;180;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;4070;Betriebspsychologie;3715;60;KL;20201;J;;0;0;0;0;08:00;
KI;0;1922;921921010;Strukturmechanik 1;15291;120;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;3010;Schallschutz 1;3615;120;KL;20201;J;;0;0;0;0;08:00;
MM;FV;132;2050;Versicherungsmathem.;0017;120;KL;20201;J;;0;0;0;0;08:00;
MB;FV;132;17160;Differentialgeometrie;1963;120;KL;20201;J;;0;0;0;0;08:00;
MB;0;182;4020;Numerik;0095;120;KL;20201;J;;0;0;0;0;08:00;
